basket_id,shop_id,user_id,item_id,buy_date
1,7,88,10,2019-11-22
1,7,88,12,2019-11-22
1,7,88,18,2019-11-22
1,7,88,26,2019-11-22
1,7,88,64,2019-11-22
1,7,88,71,2019-11-22
1,7,88,84,2019-11-22
1,7,88,97,2019-11-22
2,8,79,20,2020-06-29
2,8,79,42,2020-06-29
2,8,79,44,2020-06-29
2,8,79,99,2020-06-29
3,19,8,7,2019-06-06
4,17,3,69,2020-04-18
4,17,3,79,2020-04-18
5,5,93,4,2020-03-13
5,5,93,33,2020-03-13
5,5,93,33,2020-03-13
5,5,93,48,2020-03-13
5,5,93,53,2020-03-13
5,5,93,85,2020-03-13
5,5,93,87,2020-03-13
5,5,93,92,2020-03-13
7,2,6,2,2020-05-16
7,2,6,35,2020-05-16
7,2,6,60,2020-05-16
7,2,6,81,2020-05-16
7,2,6,91,2020-05-16
7,2,6,94,2020-05-16
7,2,6,96,2020-05-16
8,16,67,45,2020-10-28
8,16,67,86,2020-10-28
9,9,9,12,2019-09-01
9,9,9,22,2019-09-01
9,9,9,36,2019-09-01
9,9,9,48,2019-09-01
9,9,9,50,2019-09-01
9,9,9,51,2019-09-01
9,9,9,68,2019-09-01
9,9,9,83,2019-09-01
10,13,76,29,2020-07-14
10,13,76,50,2020-07-14
10,13,76,71,2020-07-14
10,13,76,92,2020-07-14
11,2,54,11,2020-02-25
11,2,54,57,2020-02-25
11,2,54,57,2020-02-25
11,2,54,64,2020-02-25
11,2,54,88,2020-02-25
11,2,54,89,2020-02-25
11,2,54,90,2020-02-25
11,2,54,99,2020-02-25
12,12,42,24,2020-10-17
12,12,42,47,2020-10-17
12,12,42,71,2020-10-17
13,11,3,14,2020-04-27
13,11,3,64,2020-04-27
13,11,3,87,2020-04-27
14,8,81,6,2020-10-07
14,8,81,44,2020-10-07
14,8,81,46,2020-10-07
14,8,81,54,2020-10-07
14,8,81,60,2020-10-07
14,8,81,70,2020-10-07
14,8,81,74,2020-10-07
14,8,81,82,2020-10-07
15,3,63,32,2020-02-24
15,3,63,34,2020-02-24
15,3,63,38,2020-02-24
15,3,63,61,2020-02-24
15,3,63,64,2020-02-24
15,3,63,92,2020-02-24
15,3,63,94,2020-02-24
16,19,39,31,2020-09-12
17,18,10,7,2020-08-07
17,18,10,9,2020-08-07
17,18,10,11,2020-08-07
17,18,10,27,2020-08-07
17,18,10,43,2020-08-07
17,18,10,57,2020-08-07
17,18,10,95,2020-08-07
17,18,10,97,2020-08-07
18,11,38,1,2019-04-01
18,11,38,21,2019-04-01
18,11,38,58,2019-04-01
18,11,38,70,2019-04-01
18,11,38,75,2019-04-01
18,11,38,87,2019-04-01
18,11,38,94,2019-04-01
20,20,74,11,2020-03-30
20,20,74,59,2020-03-30
20,20,74,61,2020-03-30
20,20,74,80,2020-03-30
21,12,98,7,2020-01-06
21,12,98,40,2020-01-06
21,12,98,42,2020-01-06
21,12,98,47,2020-01-06
21,12,98,52,2020-01-06
21,12,98,58,2020-01-06
21,12,98,63,2020-01-06
21,12,98,81,2020-01-06
21,12,98,92,2020-01-06
22,12,90,26,2019-04-20
22,12,90,62,2019-04-20
22,12,90,66,2019-04-20
22,12,90,66,2019-04-20
22,12,90,75,2019-04-20
22,12,90,83,2019-04-20
23,5,46,5,2019-07-10
